Exhibition Title,Questions ,Option 1,Option 2,Option 3,Option 4,Correct Answer
Theories of How Life Began,Scientists believe Earth's early atmosphere lacked oxygen. How do you think this might have influenced the development of early life forms?,It prevented life from forming because oxygen is essential.,It allowed different chemical reactions that led to the formation of life., It made the planet too hot for any life to survive.,It led to an atmosphere rich in plants and animals early on.,Option 2
Theories of How Life Began,The movement of tectonic plates over billions of years has caused volcanic eruptions. How might volcanic activity have contributed to the origins of life on Earth?,By releasing essential gases and heat that helped create early life molecules.,By destroying any chance of life developing due to extreme heat.,By creating mountains that organisms needed to survive.,By cooling the Earth's surface quickly.,Option 1
Theories of How Life Began,"If you could recreate the conditions of early Earth in a lab like the Miller-Urey experiment, which factors would you include to test the formation of life-building molecules?","High oxygen levels, low pressure, and sunlight","Low oxygen levels, electrical sparks, and simple gases","Frozen water, strong magnetic fields, and deep ocean pressure","Metal-rich soils, sandstorms, and direct sunlight",Option 2
Theories of How Life Began,Some scientists believe asteroids brought essential ingredients for life to Earth. What feature of Earth's surface would have made it possible for these ingredients to survive the impact?,Thick atmosphere protecting from heat,High levels of oxygen that preserved organic molecules,Oceanic water bodies that cooled down asteroid fragments,Strong winds that dispersed the impact energy,Option 3
Theories of How Life Began,Scientists often study ancient rocks to understand the early conditions of Earth. What might they look for in these rocks to find evidence of early life?,Fossilized shells of marine animals,Patterns indicating past tectonic plate movements,Traces of organic molecules or microscopic fossils,Crystals formed by volcanic lava,Option 3
Carbon,"Why do you think carbon is so important in forming molecules like carbohydrates, proteins, and lipids?",It only bonds with metals.," It can form stable, long chains and rings with other atoms.",It has only one electron to share with other elements.,It makes molecules dissolve easily in water.,Option 2
Carbon,"Imagine you're a scientist analyzing an unknown sample. If you find it has carbon, hydrogen, and oxygen, which type of biomolecule might it be?",Metal alloy,Carbohydrate or lipid,Pure diamond,Rock mineral,Option 2
Carbon,"The food we eat, like rice and bread, is rich in carbohydrates. Which element do you think is crucial for giving these foods their energy-storing properties?", Nitrogen,Carbon,Calcium,Chlorine,Option 2
Carbon,Carbon atoms can bond with themselves to form structures like rings and chains. How does this property affect the diversity of life on Earth?, It limits the types of molecules that can exist.,It allows for a vast variety of organic compounds.,It prevents the formation of large molecules.,"It leads to simple, repetitive structures only.",Option 2
Carbon,"Besides being essential for life, carbon is used in many industries. How do you think the structure of graphite makes it useful in pencils?",It’s a liquid that flows easily.,It’s very hard and doesn't break.,"It can slide in layers, leaving marks on paper.",It reacts quickly with oxygen.,Option 3
Philippine Terrestrial Biodiversity,The Philippines is known for its rich biodiversity. Why do you think having a wide variety of plants and animals is important for the environment?,It makes the country look more colorful.,It ensures ecosystems can recover and adapt to changes.,It only benefits humans by providing food.,It prevents plants from growing too tall.,Option 2
Philippine Terrestrial Biodiversity,Imagine you’re a scientist studying mangrove forests in the Philippines. You notice that many areas have been lost over the years. How might this impact local ecosystems?,It will increase fish populations in those areas., It will decrease the natural protection against floods.,It will improve water quality for nearby towns.,It will make the soil more fertile.,Option 2
Philippine Terrestrial Biodiversity,The Haribon Foundation works to protect Philippine biodiversity. How can conservation efforts like theirs help endangered species?,By removing all predators from the ecosystem.,By promoting awareness and protecting habitats.,By planting non-native species in new areas.,By capturing wild animals to keep them as pets.,Option 2
Philippine Terrestrial Biodiversity,"The Philippines has several biogeographic zones, like Luzon and Mindanao, that are rich in unique species. How do you think these zones contribute to the country’s overall biodiversity?","They isolate species, leading to fewer varieties.",They allow unique species to evolve in different areas.,They limit the spread of plants and animals.,They prevent animals from adapting to their environment.,Option 2
Philippine Terrestrial Biodiversity,"As a student, what simple action can you take to help protect biodiversity in your local area?", Collecting wild plants and animals to keep at home.,Supporting campaigns that protect endangered species.,Building roads through protected forests for easier access.,Introducing foreign plants to local ecosystems.,Option 2
Tree of Life,Phylogenetic trees are used to show the relationships among species. What do the branches of the tree represent?,Different environments where species live,Evolutionary paths and common ancestors, Levels of biodiversity in a region,The physical sizes of organisms,Option 2
Tree of Life,"The tree of life divides all organisms into three main domains: Archaea, Bacteria, and Eukarya. If you discovered a new organism living in a hot spring, which domain would it most likely belong to?",Eukarya,Bacteria,Archaea,Protists,Option 3
Tree of Life,"Charles Darwin and other scientists used the concept of a ""tree"" to show how species are related. What type of evidence do scientists today often use to build these trees?",Fossils and rock samples,Genetic information like RNA or DNA sequences,The size and color of organisms,The location of organisms on the planet,Option 2
Tree of Life,"Unlike eukaryotes, prokaryotes like bacteria can exchange genes between different species. How might this affect the way scientists create phylogenetic trees for bacteria?",It makes it easier to classify bacteria into neat categories.,It complicates the tree since gene transfer creates new traits not inherited from parent organisms., It shows that all bacteria come from one single ancestor.,It means bacteria are not related to any other forms of life.,Option 2
Tree of Life, Why do you think it is important for scientists to study the evolutionary relationships between different organisms?,To identify which animals are the fastest runners.,To understand how different species evolved and adapted over time.,To create lists of animals that are most popular as pets.,To find which plants are the tallest in a forest.,Option 2
Payatas Dumpsite,The Payatas Dumpsite has transformed from an open dumpsite to a managed facility. Why do you think controlling waste disposal is important for communities?,It helps improve the appearance of neighborhoods only.,It reduces health risks and environmental damage., It prevents animals from entering the area., It increases the land available for housing.,Option 2
Payatas Dumpsite,The Payatas Dumpsite uses a Biogas Plant to convert methane into electricity. Why is capturing methane from waste important for the environment?,Methane is harmless and doesn’t affect the atmosphere.,Methane is a potent greenhouse gas that contributes to global warming.,Methane makes waste decompose faster without any side effects., Methane is needed to produce more waste.,Option 2
Payatas Dumpsite,The residents around Payatas Dumpsite were organized into recycling groups and social enterprises like Rags2Riches. How can community-driven programs help solve waste problems?,By encouraging people to throw more waste., By providing livelihoods and reducing waste through recycling.,By focusing only on cleaning public parks.,By replacing waste management with farming activities.,Option 2
Payatas Dumpsite,"After the tragic landslide at Payatas, various rehabilitation efforts were made. If you were to suggest one way to prevent another disaster like this, what would it be?",Allowing open burning of waste to reduce pile-ups., Using sustainable waste management practices like controlled landfills and recycling.,Building taller dumpsites to accommodate more waste.,Relocating waste to untouched natural areas.,Option 2
Payatas Dumpsite,"What can you do at home to help reduce waste and support sustainability, inspired by the efforts at Payatas?",Throwing all waste into a single trash bag.,Composting food scraps and separating recyclables.,Buying only single-use plastic products.,Ignoring waste segregation rules.,Option 2
Solar Bugs,Solar Bugs Sample Question,Option 1 Correct,Option 2,Option 3,Option 4,Option 1
Turbines,Turbines Sample Question,Option 1,Option 2 Correct,Option 3,Option 4,Option 2
Nature's Hourglass,Nature's Hourglass Sample Question,Option 1,Option 2,Option 3 Correct,Option 4,Option 3
Light Bridge,Light Bridge Sample Question,Option 1,Option 2,Option 3,Option 4 Correct,Option 4
Human Story,Human Story Sample Question,Option 1 Correct,Option 2,Option 3,Option 4,Option 1
The Human Brain,The Human Brain Sample Question,Option 1,Option 2 Correct,Option 3,Option 4,Option 2
Gamma Rays,Gamma Rays Sample Question,Option 1,Option 2,Option 3 Correct,Option 4,Option 3
Inner Space Track,Inner Space Track Sample Question,Option 1,Option 2,Option 3,Option 4 Correct,Option 4
Radiation,Radiation Sample Question,Option 1 Correct,Option 2,Option 3,Option 4,Option 1
Electric Table,Electric Table Sample Question,Option 1,Option 2 Correct,Option 3,Option 4,Option 2
Spelling Life: DNA and Genes,Spelling Life Sample Question,Option 1,Option 2,Option 3 Correct,Option 4,Option 3
Big and Small Wonders,Big and Small Wonders Sample Question,Option 1,Option 2,Option 3,Option 4 Correct,Option 4
How Humans Taste,How Humans Taste Sample Question,Option 1 Correct,Option 2,Option 3,Option 4,Option 1
Laser,Laser Sample Question,Option 1,Option 2 Correct,Option 3,Option 4,Option 2
X-Ray Machine,X-Ray Machine Sample Question,Option 1,Option 2,Option 3 Correct,Option 4,Option 3
Fractal Wall,Fractal Wall Sample Question,Option 1,Option 2,Option 3,Option 4 Correct,Option 4
Sulu Sulawesi Seascape,Sulu Sulawesi Seascape Sample Question,Option 1 Correct,Option 2,Option 3,Option 4,Option 1
How to Become a Fossil,How to Become a Fossil Sample Question,Option 1,Option 2 Correct,Option 3,Option 4,Option 2
Bernoulli's Principle,Bernoulli's Principle Sample Question,Option 1,Option 2,Option 3 Correct,Option 4,Option 3
Human Journey,Human Journey Sample Question ,Option 1,Option 2,Option 3,Option 4 Correct,Option 4
